	Косинусная мера	Идентификатор обращения	Ответ ЧАВО	Сообщение
28	0.9522371850470254	00000000-0001-0000-0018-000109740015	Удаление банковской карты в профиле: - на карте (в правом верхнем углу) входим в «профиль» - в «профиле» выбираем «способы оплаты»- в «способы оплаты» выбираем банковскую карту, которую хотим удалить и смахиваем ее влево- если вы по ошибке удалили карту, ее может будет вернуть, нажав на «отменить».	"Удаление банковской карты в профиле: 
- на карте (в правом верхнем углу) входим в «профиль» 
- в «профиле» выбираем «способы оплаты»
- в «способы оплаты» выбираем банковскую карту, которую хотим удалить и смахиваем ее влево.
- если вы по ошибке удалили карту, ее может будет вернуть, нажав на «отменить»
"
76	0.6855856135188128	00000000-0001-0000-0018-000109741303	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	"Для того, чтобы убрать старую неактивную карту из виджета в мобильном приложении, Вам необходимо объединить эту карту с новой, активной картой. Для этого необходимо направить заявление на объединение карт:
· через мессенджер Viber;
· через форму ОС на сайте gpnbonus.ru;
· с помощью онлайн консультанта на сайте;
· с помощью онлайн консультанта в МП;
· отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
· оставив письменное заявление оператору АЗС.
В заявлении на объединение карт должны быть указаны:
· номера всех карт;
· телефоны, к которым привязаны карты;
· подпись."
137	0.6146804622911209	00000000-0001-0000-0018-000109742342	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Сообщите, пожалуйста, номер Вашей бонусной карты без пробелов.
143	0.9542070090235402	00000000-0001-0000-0018-000109742362	Привязка банковской карты в профиле:  - на карте (в правом верхнем углу) входим в «профиль»  - в «профиле» выбираем «способы оплаты» - в «способы оплаты» нажимаем вкладку «добавить новую карту» - заполняем данные карты в форму - после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет. - после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.	"Привязка банковской карты в профиле: 
- на карте (в правом верхнем углу) входим в «профиль» 
- в «профиле» выбираем «способы оплаты»
- в «способы оплаты» нажимаем вкладку «добавить новую карту»
- заполняем данные карты в форму
- после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет.
- после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.
"
146	0.9661754663608113	00000000-0001-0000-0018-000109742368	Возможно, приложение долго было открыто в памяти Вашего телефона и список не обновлялся. В этом случае рекомендуем, находясь в личном кабинете мобильного приложения, потянуть экран вниз (стандартное действие «pull to refresh») - список должен появиться. Если данные не обновятся, и Вы не увидите список транзакций, то рекомендуем выйти из личного кабинета и авторизоваться заново, после чего снова проверить информацию о покупках.	"Возможно, приложение долго было открыто в памяти Вашего телефона и список не обновлялся. В этом случае рекомендуем, находясь в личном кабинете мобильного приложения, потянуть экран вниз (стандартное действие «pull to refresh») - список должен появиться. 
Если данные не обновятся и Вы не увидите список транзакций, то рекомендуем выйти из личного кабинета и авторизоваться заново, после чего снова проверить информацию о покупках.
"
156	0.6855856135188128	00000000-0001-0000-0018-000109742408	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	"Для того, чтобы убрать старую неактивную карту из виджета в мобильном приложении, Вам необходимо объединить эту карту с новой, активной картой. Для этого необходимо направить заявление на объединение карт:
· через мессенджер Viber;
· через форму ОС на сайте gpnbonus.ru;
· с помощью онлайн консультанта на сайте;
· с помощью онлайн консультанта в МП;
· отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
· оставив письменное заявление оператору АЗС.
В заявлении на объединение карт должны быть указаны:
· номера всех карт;
· телефоны, к которым привязаны карты;
· подпись."
159	0.62754274073285	00000000-0001-0000-0018-000109742501	В акции участвуют все АЗС сети «Газпромнефть», на которых доступна функция оплаты через мобильное приложение «Газпромнефть».Назовите, пожалуйста, станцию, которая Вас интересует, я проверю ее участие.Обращаю Ваше внимание, что с полным списком АЗС, на которых доступна функция оплаты через мобильное приложение «Газпромнефть», Вы можете ознакомиться в мобильном приложении.	С полным списком АЗС, на которых доступна функция оплаты через приложение АЗС.GO, Вы можете ознакомиться в мобильном приложении.
161	0.9542070090235402	00000000-0001-0000-0018-000109742501	Привязка банковской карты в профиле:  - на карте (в правом верхнем углу) входим в «профиль»  - в «профиле» выбираем «способы оплаты» - в «способы оплаты» нажимаем вкладку «добавить новую карту» - заполняем данные карты в форму - после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет. - после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.	"Привязка банковской карты в профиле: 
- на карте (в правом верхнем углу) входим в «профиль» 
- в «профиле» выбираем «способы оплаты»
- в «способы оплаты» нажимаем вкладку «добавить новую карту»
- заполняем данные карты в форму
- после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет.
- после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.
"
163	0.7009853042583833	00000000-0001-0000-0018-000109742523	С 1 марта до 31 декабря 2019 года.(ранее срок был с 1 марта до 31 мая)	Акция действует с 1 марта до 31 мая 2019 года включительно.
206	0.62754274073285	00000000-0001-0000-0018-000109742873	В акции участвуют все АЗС сети «Газпромнефть», на которых доступна функция оплаты через мобильное приложение «Газпромнефть».Назовите, пожалуйста, станцию, которая Вас интересует, я проверю ее участие.Обращаю Ваше внимание, что с полным списком АЗС, на которых доступна функция оплаты через мобильное приложение «Газпромнефть», Вы можете ознакомиться в мобильном приложении.	С полным списком АЗС, на которых доступна функция оплаты через приложение АЗС.GO, Вы можете ознакомиться в мобильном приложении.
